# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Type; "lin"; yes; "sweep type [lin, log, list, const]"
Start; "0"; yes; "start time in seconds"
Stop; "1 ms"; yes; "stop time in seconds"
Points; "11"; no; "number of simulation time steps"
IntegrationMethod; "Trapezoidal"; no; "integration method [Euler, Trapezoidal, Gear, AdamsMoulton]"
Order; "2"; no; "order of integration method (1-6)"
InitialStep; "1 ns"; no; "initial step size in seconds"
MinStep; "1e-16"; no; "minimum step size in seconds"
MaxIter; "150"; no; "maximum number of iterations until error"
reltol; "0.001"; no; "relative tolerance for convergence"
abstol; "1 pA"; no; "absolute tolerance for currents"
vntol; "1 uV"; no; "absolute tolerance for voltages"
Temp; "26.85"; no; "simulation temperature in degree Celsius"
LTEreltol; "1e-3"; no; "relative tolerance of local truncation error"
LTEabstol; "1e-6"; no; "absolute tolerance of local truncation error"
LTEfactor; "1"; no; "overestimation of local truncation error"
Solver; "CroutLU"; no; "method for solving the circuit matrix [CroutLU, DoolittleLU, HouseholderQR, HouseholderLQ, GolubSVD]"
relaxTSR; "no"; no; "relax time step raster [no, yes]"
initialDC; "yes"; no; "perform an initial DC analysis [yes, no]"
MaxStep; "0"; no; "maximum step size in seconds"
